UMAP1,UMAP2,Group,Sensitivity,Intensity_LowerQuartileIntensity_pLCK,pLCK_x_AreaShape_Area,subtype
12.824565,10.079882,SJ65,1,0.000874666,0.737344088,TAL1 DP-like with LMO2::TRB
12.780331,11.542044,SJ65,1,0.008443141,6.24597156,TAL1 DP-like with LMO2::TRB
10.607637,14.366861,SJ65,1,0.011128729,14.94968722,TAL1 DP-like with LMO2::TRB
7.930997,12.601288,SJ65,1,0.000630522,0.488321328,TAL1 DP-like with LMO2::TRB
8.020114,12.62785,SJ65,1,0.000508449,0.233246304,TAL1 DP-like with LMO2::TRB
11.922187,12.4991865,SJ65,1,0.007985369,7.47606945,TAL1 DP-like with LMO2::TRB
8.455621,13.910106,SJ65,1,0.004445277,2.479786386,TAL1 DP-like with LMO2::TRB
7.3658514,10.151169,SJ65,1,-0.000346057,-0.149044856,TAL1 DP-like with LMO2::TRB
11.234649,10.8233795,SJ65,1,-0.001063231,1.033150721,TAL1 DP-like with LMO2::TRB
8.850913,13.635818,SJ65,1,0.013875352,5.82224526,TAL1 DP-like with LMO2::TRB
6.74415,10.306267,SJ65,1,-0.001368411,-0.558562676,TAL1 DP-like with LMO2::TRB
12.52144,12.2706785,SJ65,1,0.007878556,6.58458073,TAL1 DP-like with LMO2::TRB
10.698277,13.217241,SJ65,1,0.006245842,5.7510442,TAL1 DP-like with LMO2::TRB
10.355787,13.580696,SJ65,1,0.00284308,5.513666444,TAL1 DP-like with LMO2::TRB
11.275462,9.071666,SJ65,1,-0.007853495,-0.784160544,TAL1 DP-like with LMO2::TRB
9.456846,14.192184,SJ65,1,0.0112508,4.731906294,TAL1 DP-like with LMO2::TRB
7.3811245,10.62574,SJ65,1,-0.00637337,-1.937246883,TAL1 DP-like with LMO2::TRB
8.100403,12.648918,SJ65,1,0.000386376,2.139789456,TAL1 DP-like with LMO2::TRB
9.94121,9.486982,SJ65,1,-0.00107849,0.331976032,TAL1 DP-like with LMO2::TRB
12.340844,12.736738,SJ65,1,0.013020847,9.957469566,TAL1 DP-like with LMO2::TRB
8.084853,13.928196,SJ65,1,0.011037174,2.141319524,TAL1 DP-like with LMO2::TRB
12.981979,9.880037,SJ65,1,0.00517771,7.922724216,TAL1 DP-like with LMO2::TRB
7.964462,12.17815,SJ65,1,-0.003764078,0.733407348,TAL1 DP-like with LMO2::TRB
9.045006,13.184447,SJ65,1,0.002507381,1.021026821,TAL1 DP-like with LMO2::TRB
8.334722,13.684589,SJ65,1,0.017735884,7.015005838,TAL1 DP-like with LMO2::TRB
9.534982,14.284588,SJ65,1,0.010670958,10.31741181,TAL1 DP-like with LMO2::TRB
9.79101,14.016614,SJ65,1,0.012486781,8.58880704,TAL1 DP-like with LMO2::TRB
11.267711,9.350383,SJ65,1,0.001790206,1.318834884,TAL1 DP-like with LMO2::TRB
11.479656,10.106005,SJ65,1,0.002873597,2.792789812,TAL1 DP-like with LMO2::TRB
13.201488,8.734,SJ65,1,2.02E-05,2.97139712,TAL1 DP-like with LMO2::TRB
11.537049,6.7687726,SJ65,1,-0.004069258,0.104978016,TAL1 DP-like with LMO2::TRB
12.415455,11.559301,SJ65,1,0.001668134,2.152658872,TAL1 DP-like with LMO2::TRB
9.946453,7.711292,SJ65,1,-0.001017454,0.998853384,TAL1 DP-like with LMO2::TRB
8.448797,11.11661,SJ65,1,-0.009257325,-0.91811968,TAL1 DP-like with LMO2::TRB
8.287047,13.746553,SJ65,1,0.011372873,4.58114492,TAL1 DP-like with LMO2::TRB
11.794157,11.274463,SJ65,1,0.006184806,4.793385442,TAL1 DP-like with LMO2::TRB
7.768401,8.117219,SJ65,1,-0.009684578,-1.299743892,TAL1 DP-like with LMO2::TRB
11.408452,8.570511,SJ65,1,-0.011393589,-2.51105028,TAL1 DP-like with LMO2::TRB
9.737895,12.949219,SJ65,1,0.002797303,6.94248932,TAL1 DP-like with LMO2::TRB
9.568599,11.941312,SJ65,1,0.000584744,1.161774473,TAL1 DP-like with LMO2::TRB
13.215885,8.869453,SJ65,1,0.000996738,3.830923208,TAL1 DP-like with LMO2::TRB
13.382279,8.944112,SJ65,1,0.000264304,1.50113176,TAL1 DP-like with LMO2::TRB
12.576423,10.811825,SJ65,1,0.002339532,4.847187444,TAL1 DP-like with LMO2::TRB
11.219653,13.517952,SJ65,1,0.005040379,7.965028701,TAL1 DP-like with LMO2::TRB
10.618739,12.928224,SJ65,1,0.00017275,10.41276002,TAL1 DP-like with LMO2::TRB
13.397083,8.63963,SJ65,1,-0.0018567,0.918443295,TAL1 DP-like with LMO2::TRB
12.461253,9.4742155,SJ65,1,-0.001170044,2.227514508,TAL1 DP-like with LMO2::TRB
9.411104,14.30406,SJ65,1,0.009908007,7.777576012,TAL1 DP-like with LMO2::TRB
9.889826,14.102233,SJ65,1,0.005879624,6.615745012,TAL1 DP-like with LMO2::TRB
9.502162,14.094889,SJ65,1,0.009175574,2.770778474,TAL1 DP-like with LMO2::TRB
11.396789,12.961434,SJ65,1,0.006703612,7.330972227,TAL1 DP-like with LMO2::TRB
12.191578,10.661906,SJ65,1,0.003651808,2.963735691,TAL1 DP-like with LMO2::TRB
8.563971,7.8256044,SJ65,1,-0.002116103,-1.142070732,TAL1 DP-like with LMO2::TRB
10.054019,8.683047,SJ65,1,-0.002589133,1.289198925,TAL1 DP-like with LMO2::TRB
12.299902,8.688527,SJ65,1,0.0003406,1.111969207,TAL1 DP-like with LMO2::TRB
10.2973795,14.108909,SJ65,1,0.010564144,15.603316,TAL1 DP-like with LMO2::TRB
9.472187,12.885546,SJ65,1,0.006673093,7.136698604,TAL1 DP-like with LMO2::TRB
10.67482,7.25966,SJ65,1,-0.001475224,0.946334034,TAL1 DP-like with LMO2::TRB
7.5902534,9.06565,SJ65,1,-0.006342852,-1.852074153,TAL1 DP-like with LMO2::TRB
11.42149,13.176039,SJ65,1,0.011983234,13.99324727,TAL1 DP-like with LMO2::TRB
10.049909,13.272632,SJ65,1,0.005192969,3.916976391,TAL1 DP-like with LMO2::TRB
11.705233,12.521367,SJ65,1,0.002339532,3.03131352,TAL1 DP-like with LMO2::TRB
12.668444,10.080841,SJ65,1,0.001179846,1.554506928,TAL1 DP-like with LMO2::TRB
8.08838,8.614213,SJ65,1,0.001668134,2.690208795,TAL1 DP-like with LMO2::TRB
10.950718,14.0668545,SJ65,1,0.007008792,11.39164726,TAL1 DP-like with LMO2::TRB
9.409975,7.454608,SJ65,1,-0.003825114,-0.81506849,TAL1 DP-like with LMO2::TRB
9.042749,13.542111,SJ65,1,0.01094562,9.317072737,TAL1 DP-like with LMO2::TRB
8.759812,13.937238,SJ65,1,0.011372873,4.769304176,TAL1 DP-like with LMO2::TRB
9.999741,12.63459,SJ65,1,0.001515544,2.791588872,TAL1 DP-like with LMO2::TRB
8.386774,13.211567,SJ65,1,-0.00263491,1.440478834,TAL1 DP-like with LMO2::TRB
7.793133,10.239818,SJ65,1,-0.002375507,-0.79842636,TAL1 DP-like with LMO2::TRB
11.219716,12.728177,SJ65,1,0.007008792,10.65311079,TAL1 DP-like with LMO2::TRB
13.124931,10.194918,SJ65,1,0.000828889,2.518529147,TAL1 DP-like with LMO2::TRB
8.187908,7.2819076,SJ65,1,-0.007929791,-3.222221837,TAL1 DP-like with LMO2::TRB
8.400905,13.944847,SJ65,1,0.007085087,3.876344945,TAL1 DP-like with LMO2::TRB
12.835858,6.428269,SJ65,1,-0.001505742,2.515284816,TAL1 DP-like with LMO2::TRB
11.027574,14.011969,SJ65,1,0.00392647,10.36567693,TAL1 DP-like with LMO2::TRB
13.047844,10.971013,SJ65,1,0.00298041,4.026241615,TAL1 DP-like with LMO2::TRB
7.989505,8.879657,SJ65,1,-0.006815882,-2.471439182,TAL1 DP-like with LMO2::TRB
8.530274,13.438572,SJ65,1,0.000661039,1.967993256,TAL1 DP-like with LMO2::TRB
8.648972,13.905907,SJ65,1,0.005696517,2.622820265,TAL1 DP-like with LMO2::TRB
