UMAP1,UMAP2,Group,Sensitivity,Intensity_UpperQuartileIntensity_pBCL2,Intensity_MinIntensityEdge_BCL_2,subtype
7.2127285,3.8146427,SJ65,0,-0.049510031,-0.001394014,TAL1 DP-like with LMO2::TRB
3.619487,-0.5150023,SJ65,0,-0.009165175,0.00416027,TAL1 DP-like with LMO2::TRB
0.5567386,8.494466,SJ65,0,0.06663783,0.008188652,TAL1 DP-like with LMO2::TRB
0.355197,3.2931232,SJ65,0,0.161571846,0.024485287,TAL1 DP-like with LMO2::TRB
4.042441,2.0156074,SJ65,0,0.012731523,-0.00285888,TAL1 DP-like with LMO2::TRB
3.506248,5.229192,SJ65,0,0.038336151,-0.001638158,TAL1 DP-like with LMO2::TRB
2.6398826,5.660153,SJ65,0,0.108237729,0.018869967,TAL1 DP-like with LMO2::TRB
2.2045684,2.8983178,SJ65,0,0.053457842,0.017405101,TAL1 DP-like with LMO2::TRB
6.6129627,1.0390614,SJ65,0,-0.071616533,0.006052389,TAL1 DP-like with LMO2::TRB
3.3616188,5.3731856,SJ65,0,0.051397876,0.002695404,TAL1 DP-like with LMO2::TRB
5.024679,1.3480498,SJ65,0,0.048666523,0.001169502,TAL1 DP-like with LMO2::TRB
-1.1242481,3.488492,SJ65,0,0.086371557,-0.001821266,TAL1 DP-like with LMO2::TRB
5.243012,3.4256907,SJ65,0,0.008794696,-0.002736808,TAL1 DP-like with LMO2::TRB
3.5648673,5.1538906,SJ65,0,0.049418018,7.09E-05,TAL1 DP-like with LMO2::TRB
6.1319766,1.072378,SJ65,0,0.037176476,0.009348338,TAL1 DP-like with LMO2::TRB
0.23288055,4.357434,SJ65,0,0.074362711,-0.001638158,TAL1 DP-like with LMO2::TRB
5.116588,0.2698478,SJ65,0,0.026884266,-0.00285888,TAL1 DP-like with LMO2::TRB
5.5976877,2.5389729,SJ65,0,0.045401082,-0.001149869,TAL1 DP-like with LMO2::TRB
2.4505641,-0.47307226,SJ65,0,0.027250484,0.00245126,TAL1 DP-like with LMO2::TRB
-1.1304107,3.2836428,SJ65,0,0.038214088,0.010141807,TAL1 DP-like with LMO2::TRB
5.2134304,2.2843752,SJ65,0,0.064249807,0.008188652,TAL1 DP-like with LMO2::TRB
4.113882,0.1273368,SJ65,0,-0.036341499,0.000253961,TAL1 DP-like with LMO2::TRB
5.537094,1.0653105,SJ65,0,0.095084474,0.00245126,TAL1 DP-like with LMO2::TRB
4.8239784,2.1036777,SJ65,0,0.040911109,-0.000844689,TAL1 DP-like with LMO2::TRB
3.1779306,4.544964,SJ65,0,0.095965669,0.02241006,TAL1 DP-like with LMO2::TRB
1.4707007,4.712297,SJ65,0,0.082709388,0.003183693,TAL1 DP-like with LMO2::TRB
4.2599473,4.7666903,SJ65,0,0.08796613,0.005869281,TAL1 DP-like with LMO2::TRB
6.721225,0.6279479,SJ65,0,-0.097026631,0.001413646,TAL1 DP-like with LMO2::TRB
3.8196297,-0.41059554,SJ65,0,-0.023958801,0.006296533,TAL1 DP-like with LMO2::TRB
1.7950087,0.92365724,SJ65,0,0.013944612,-0.002492663,TAL1 DP-like with LMO2::TRB
6.221399,0.3907065,SJ65,0,-0.02649179,-0.00285888,TAL1 DP-like with LMO2::TRB
3.9357324,-0.7711768,SJ65,0,-0.020609445,-0.000295364,TAL1 DP-like with LMO2::TRB
4.6098075,-0.18568495,SJ65,0,-0.024286865,0.001718827,TAL1 DP-like with LMO2::TRB
5.3081646,1.851424,SJ65,0,-0.097560688,-0.000173292,TAL1 DP-like with LMO2::TRB
2.745051,4.1893225,SJ65,0,0.068976269,-0.002248519,TAL1 DP-like with LMO2::TRB
-0.7021846,1.7386777,SJ65,0,0.066267804,0.004282342,TAL1 DP-like with LMO2::TRB
5.1905456,1.9767973,SJ65,0,-0.067973449,0.000803285,TAL1 DP-like with LMO2::TRB
